_id,fecha,curados
{'$oid': '66b82821c460ba21a0c9fa00'},3 feb 20,643
{'$oid': '66b82821c460ba21a0c9fa01'},10 feb 20,4.043
{'$oid': '66b82821c460ba21a0c9fa02'},17 feb 20,12.712
{'$oid': '66b82821c460ba21a0c9fa03'},24 feb 20,29.467
{'$oid': '66b82821c460ba21a0c9fa04'},2 mar 20,48.108
{'$oid': '66b82821c460ba21a0c9fa05'},9 mar 20,64.058
{'$oid': '66b82821c460ba21a0c9fa06'},16 mar 20,79.658
{'$oid': '66b82821c460ba21a0c9fa07'},23 mar 20,102.168
{'$oid': '66b82821c460ba21a0c9fa08'},30 mar 20,169.773
{'$oid': '66b82821c460ba21a0c9fa09'},6 abr 20,307.554
{'$oid': '66b82821c460ba21a0c9fa0a'},13 abr 20,525.013
{'$oid': '66b82821c460ba21a0c9fa0b'},20 abr 20,807.327
{'$oid': '66b82821c460ba21a0c9fa0c'},27 abr 20,1.147.774
{'$oid': '66b82821c460ba21a0c9fa0d'},4 may 20,1.450.918
{'$oid': '66b82821c460ba21a0c9fa0e'},11 may 20,1.796.412
{'$oid': '66b82821c460ba21a0c9fa0f'},18 may 20,2.195.657
{'$oid': '66b82821c460ba21a0c9fa10'},25 may 20,2.710.384
{'$oid': '66b82821c460ba21a0c9fa11'},1 jun 20,3.316.022
{'$oid': '66b82821c460ba21a0c9fa12'},8 jun 20,3.996.711
{'$oid': '66b82821c460ba21a0c9fa13'},15 jun 20,4.717.314
{'$oid': '66b82821c460ba21a0c9fa14'},22 jun 20,5.506.787
{'$oid': '66b82821c460ba21a0c9fa15'},29 jun 20,6.331.694
{'$oid': '66b82821c460ba21a0c9fa16'},6 jul 20,7.286.012
{'$oid': '66b82821c460ba21a0c9fa17'},13 jul 20,8.358.992
{'$oid': '66b82821c460ba21a0c9fa18'},20 jul 20,9.571.001
{'$oid': '66b82821c460ba21a0c9fa19'},27 jul 20,10.912.089
{'$oid': '66b82821c460ba21a0c9fa1a'},3 ago 20,12.379.555
{'$oid': '66b82821c460ba21a0c9fa1b'},10 ago 20,13.884.776
{'$oid': '66b82821c460ba21a0c9fa1c'},17 ago 20,15.517.243
{'$oid': '66b82821c460ba21a0c9fa1d'},24 ago 20,17.121.787
{'$oid': '66b82821c460ba21a0c9fa1e'},31 ago 20,18.749.372
{'$oid': '66b82821c460ba21a0c9fa1f'},7 sep 20,20.467.620
{'$oid': '66b82821c460ba21a0c9fa20'},14 sep 20,22.230.344
{'$oid': '66b82821c460ba21a0c9fa21'},21 sep 20,24.145.318
{'$oid': '66b82821c460ba21a0c9fa22'},28 sep 20,26.012.661
{'$oid': '66b82821c460ba21a0c9fa23'},5 oct 20,27.837.237
{'$oid': '66b82821c460ba21a0c9fa24'},12 oct 20,29.694.890
{'$oid': '66b82821c460ba21a0c9fa25'},19 oct 20,31.574.545
{'$oid': '66b82821c460ba21a0c9fa26'},26 oct 20,33.532.554
{'$oid': '66b82821c460ba21a0c9fa27'},2 nov 20,35.525.491
{'$oid': '66b82821c460ba21a0c9fa28'},9 nov 20,37.685.019
{'$oid': '66b82821c460ba21a0c9fa29'},16 nov 20,40.249.140
{'$oid': '66b82821c460ba21a0c9fa2a'},23 nov 20,43.150.751
{'$oid': '66b82821c460ba21a0c9fa2b'},30 nov 20,46.302.608
{'$oid': '66b82821c460ba21a0c9fa2c'},7 dic 20,49.752.788
{'$oid': '66b82821c460ba21a0c9fa2d'},14 dic 20,53.344.829
{'$oid': '66b82821c460ba21a0c9fa2e'},21 dic 20,56.870.205
{'$oid': '66b82821c460ba21a0c9fa2f'},28 dic 20,60.294.785
{'$oid': '66b82821c460ba21a0c9fa30'},4 ene 21,63.800.850
{'$oid': '66b82821c460ba21a0c9fa31'},11 ene 21,67.103.423
{'$oid': '66b82821c460ba21a0c9fa32'},18 ene 21,70.551.293
{'$oid': '66b82821c460ba21a0c9fa33'},25 ene 21,74.157.972
{'$oid': '66b82821c460ba21a0c9fa34'},1 feb 21,77.709.941
{'$oid': '66b82821c460ba21a0c9fa35'},8 feb 21,81.135.779
{'$oid': '66b82821c460ba21a0c9fa36'},15 feb 21,84.364.632
{'$oid': '66b82821c460ba21a0c9fa37'},22 feb 21,87.806.058
{'$oid': '66b82821c460ba21a0c9fa38'},1 mar 21,90.713.451
{'$oid': '66b82821c460ba21a0c9fa39'},8 mar 21,93.446.970
